client_id,cluster_id,dE_local,dC_local,dN_local,dE_global,dC_global,dN_global,dD,norm,dE,dC,dN,lambda_dE_local,raw_lambda_dE_local,tau_dE_local,z_dE_local,flag_dE_local,threshold_scope_dE_local,lambda_dN_local,raw_lambda_dN_local,tau_dN_local,z_dN_local,flag_dN_local,threshold_scope_dN_local,lambda_dE_global,raw_lambda_dE_global,tau_dE_global,z_dE_global,flag_dE_global,threshold_scope_dE_global,lambda_dN_global,raw_lambda_dN_global,tau_dN_global,z_dN_global,flag_dN_global,threshold_scope_dN_global,lambda_dC_local,raw_lambda_dC_local,tau_dC_local,z_dC_local,flag_dC_local,threshold_scope_dC_local,lambda_dC_global,raw_lambda_dC_global,tau_dC_global,z_dC_global,flag_dC_global,threshold_scope_dC_global,lambda_dD,raw_lambda_dD,tau_dD,z_dD,flag_dD,threshold_scope_dD,local_votes,global_votes,magnitude_votes,direction_votes,suspicious_votes,suspicious_score,cluster_forced_poisoned,client_poisoned_by_score,is_poisoned,round
11,205,769796603904.0,0.006136178970336914,0.13705752814722988,2815489998848.0,0.7528468668460846,15.553315122817464,0.007947266101837158,2815489998848.0,769796603904.0,0.006136178970336914,0.13705752814722988,4.6064404002026045,4.6064404002026045,2.533472797227092,536092782462.7567,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,0.13464043403561404,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,3834396.9122542595,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,3.026006998135481,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.39592285761948803,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,1.9905076663592287,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.33647343071959795,0,global_population_threshold,1,2,3,0,3,536096616862.8296,1,1,1,3
12,12,0.0,0.0,0.0,7272796672.0,0.6906190514564514,9.59456443453525,0.0,7272796672.0,0.0,0.0,0.0,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.6744907594761255,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.6744907594726133,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,9904.100172326333,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-1.9028601366126152,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.6745115549919243,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,1.7556786386392318,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.6744907594479075,0,global_population_threshold,0,1,1,0,1,9904.100172326333,0,0,0,3
13,414,0.6311315894126892,0.005760371685028076,0.13231765496574763,1.0852104425430298,0.0399436354637146,11.798127441773746,0.018258631229400635,3.723689079284668,0.6311315894126892,0.005760371685028076,0.13231765496574763,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.23496545090382265,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,0.10665817508015887,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744904363057046,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.08015100614293207,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.33036462461335914,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.6997743503842934,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,0.10209500920662162,0,global_population_threshold,0,0,0,0,0,0.10665817508015887,0,0,0,3
14,197,7768755.0,5.781650543212891e-06,0.0,2310960640.0,0.24456173181533813,8.448086829864415,0.0016484260559082031,2310960640.0,7768755.0,5.781650543212891e-06,0.0,4.6064404002026045,4.6064404002026045,2.533472797227092,5410225.173616612,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.6744907594726133,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,3146.607830064188,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-2.851185730683714,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.6735029667918301,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,0.0723926993394756,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.6043790298437575,0,global_population_threshold,1,1,2,0,2,5413371.781446677,0,1,1,3
15,211,0.8307937383651733,0.014675676822662354,0.2479510704361727,1.6912970542907715,0.10000628232955933,11.876604499569277,0.08227413892745972,3.4426372051239014,0.8307937383651733,0.014675676822662354,0.2479510704361727,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.09591906327139067,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,0.789310231729765,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744896108802751,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.015237568539180112,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,1.885607629158755,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.47311601636626255,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,2.824836469226736,1,global_population_threshold,0,0,0,1,0,0.789310231729765,0,0,0,3
16,48,381334552576.0,7.474422454833984e-05,0.0998893912945925,3813121720320.0,0.7522494494915009,15.856627012108081,0.003719627857208252,3813121720320.0,381334552576.0,7.474422454833984e-05,0.0998893912945925,4.6064404002026045,4.6064404002026045,2.533472797227092,265564566409.66217,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.08478493674551987,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,5193065.0896723475,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,3.276895830528274,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.6614726931061693,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,1.9882531932487468,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.5162855784402788,0,global_population_threshold,1,2,3,0,3,265569759478.02872,1,1,1,3
17,17,443744190464.0,7.474422454833984e-05,0.01897814074339239,26161134436352.0,0.7071181535720825,17.78245370024013,8.20159912109375e-05,26161134436352.0,443744190464.0,7.474422454833984e-05,0.01897814074339239,4.6064404002026045,4.6064404002026045,2.533472797227092,309027159331.2666,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.5624516334366272,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,35628678.805930525,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,4.869871332762487,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.6614726931061693,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,1.817941279289671,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.6710024118945624,0,global_population_threshold,1,2,3,0,3,309062788014.9424,1,1,1,3
18,82,1.7874677181243896,0.007594883441925049,0.30998749789952773,2.2150282859802246,0.15383297204971313,11.707172360971285,0.025103628635406494,4.078258037567139,1.7874677181243896,0.007594883441925049,0.30998749789952773,4.6064404002026045,4.6064404002026045,2.533472797227092,0.5703166840916116,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,1.1555477472676925,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,-0.6744888976141041,0,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,-0.1553858216198058,0,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.650388620721628,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,-0.26999030589056683,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,0.3932300622779473,0,global_population_threshold,0,0,0,0,0,1.7258644313593041,0,0,0,3
19,250,7909077417984.0,0.008220911026000977,1.4695479063960364,2355817611264.0,0.7308253049850464,15.37506665750623,0.2752489447593689,2355817611264.0,7909077417984.0,0.008220911026000977,1.4695479063960364,4.6064404002026045,4.6064404002026045,2.533472797227092,5507947551628.814,1,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,8.001114787290446,1,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,3208372.0660047177,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,2.878566192427749,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,0.7595968873771983,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,1.907404926397625,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,11.032543062074721,1,global_population_threshold,2,2,4,1,4,5507950760011.761,1,1,1,3
20,20,0.0,0.0,0.0,15877904793600.0,0.2806832790374756,17.283107316451932,0.0,15877904793600.0,0.0,0.0,0.0,4.6064404002026045,4.6064404002026045,2.533472797227092,-0.6744907594761255,0,global_population_threshold,0.5433921705073121,0.5433921705073121,2.533472797227092,-0.6744907594726133,0,global_population_threshold,2355518.007061033,2355518.007061033,2.533472797227092,21624014.98462114,1,global_population_threshold,14.957866223822569,14.957866223822569,2.533472797227092,4.456829722421432,1,global_population_threshold,0.018389511664261338,0.018389511664261338,2.533472797227092,-0.6745115549919243,0,global_population_threshold,0.8967282866778175,0.8967282866778175,2.533472797227092,0.20870453610901152,0,global_population_threshold,0.07725188557032578,0.07725188557032578,2.611227331022577,-0.6744907594479075,0,global_population_threshold,0,2,2,0,2,21624019.441450864,1,1,1,3
